,batting_team,bowling_team,city,runs_left,balls_left,wickets,total_runs_x,crr,rrr,result
23452,Rajasthan Royals,Mumbai Indians,Abu Dhabi,158,84,3,193,5.8,11.3,0
23453,Kolkata Knight Riders,Kings XI Punjab,Pune,95,81,3,155,9.2,7.0,1
23454,Mumbai Indians,Sunrisers Hyderabad,Mumbai,143,96,1,178,8.8,8.9,1
23455,Chennai Super Kings,Delhi Daredevils,Durban,21,15,6,189,9.6,8.4,0
23456,Kolkata Knight Riders,Rajasthan Royals,Kolkata,91,92,1,132,8.8,5.9,1
23457,Chennai Super Kings,Mumbai Indians,Mumbai,47,37,3,173,9.1,7.6,1
23458,Delhi Capitals,Chennai Super Kings,Mumbai,143,92,2,179,7.7,9.3,1
23459,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,92,111,0,135,28.7,5.0,1
23460,Chennai Super Kings,Delhi Capitals,Visakhapatnam,156,86,2,191,6.2,10.9,0
23461,Sunrisers Hyderabad,Kings XI Punjab,Mumbai,83,28,7,193,7.2,17.8,0
23462,Mumbai Indians,Delhi Capitals,Abu Dhabi,132,99,0,162,8.6,8.0,1
23463,Kings XI Punjab,Deccan Chargers,Kimberley,146,110,0,168,13.2,8.0,1
23464,Rajasthan Royals,Delhi Capitals,Delhi,150,83,2,221,11.5,10.8,0
23465,Chennai Super Kings,Sunrisers Hyderabad,Chennai,40,37,2,175,9.8,6.5,1
23466,Kings XI Punjab,Royal Challengers Bangalore,Bangalore,215,119,1,226,66.0,10.8,0
23467,Chennai Super Kings,Kings XI Punjab,Mumbai,70,85,1,112,7.2,4.9,1
23468,Royal Challengers Bangalore,Mumbai Indians,Mumbai,182,122,0,187,-15.0,9.0,0
23469,Kings XI Punjab,Delhi Capitals,Mumbai,13,24,5,164,9.4,3.2,1
23470,Gujarat Titans,Rajasthan Royals,Ahmedabad,105,95,2,130,6.0,6.6,1
23471,Gujarat Titans,Chennai Super Kings,Chennai,50,28,6,172,8.0,10.7,0
23472,Mumbai Indians,Deccan Chargers,Durban,164,114,1,168,4.0,8.6,0
23473,Delhi Daredevils,Kings XI Punjab,Pune,92,65,2,165,8.0,8.5,1
23474,Mumbai Indians,Rajasthan Royals,Delhi,144,102,0,171,9.0,8.5,1
23475,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,80,37,4,208,9.3,13.0,0
23476,Rajasthan Royals,Delhi Daredevils,Bloemfontein,51,29,7,150,6.5,10.6,0
23477,Mumbai Indians,Sunrisers Hyderabad,Mumbai,33,17,9,118,5.0,11.6,0
23478,Rajasthan Royals,Chennai Super Kings,Abu Dhabi,20,35,2,189,11.9,3.4,1
23479,Kolkata Knight Riders,Delhi Daredevils,Delhi,65,29,6,177,7.4,13.4,0
23480,Delhi Capitals,Rajasthan Royals,Mumbai,53,27,6,222,10.9,11.8,0
23481,Deccan Chargers,Delhi Daredevils,Centurion,7,36,4,153,10.4,1.2,1
23482,Mumbai Indians,Delhi Capitals,Delhi,145,114,0,172,27.0,7.6,1
23483,Chennai Super Kings,Sunrisers Hyderabad,Sharjah,73,77,0,134,8.5,5.7,1
23484,Rajasthan Royals,Sunrisers Hyderabad,Mumbai,30,22,5,158,7.8,8.2,1
23485,Deccan Chargers,Chennai Super Kings,Chennai,139,104,1,160,7.9,8.0,0
23486,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,118,91,3,171,11.0,7.8,0
23487,Sunrisers Hyderabad,Chennai Super Kings,Ranchi,64,51,1,185,10.5,7.5,1
23488,Rajasthan Royals,Kings XI Punjab,Chandigarh,139,115,1,145,7.2,7.3,1
23489,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,4,11,4,171,9.2,2.2,1
23490,Chennai Super Kings,Mumbai Indians,Kolkata,146,74,1,202,7.3,11.8,0
23491,Chennai Super Kings,Royal Challengers Bangalore,Mumbai,137,82,2,169,5.1,10.0,0
23492,Mumbai Indians,Royal Challengers Bangalore,Bangalore,130,115,0,140,12.0,6.8,1
23493,Chennai Super Kings,Mumbai Indians,Mumbai,14,16,4,157,8.2,5.2,1
23494,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,128,100,1,174,13.8,7.7,0
23495,Chennai Super Kings,Mumbai Indians,Mumbai,98,60,4,165,6.7,9.8,1
23496,Rajasthan Royals,Kolkata Knight Riders,Kolkata,69,32,6,223,10.5,12.9,1
23497,Mumbai Indians,Rajasthan Royals,Kolkata,47,44,1,165,9.3,6.4,1
23498,Lucknow Super Giants,Gujarat Titans,Lucknow,31,43,1,135,8.1,4.3,0
23499,Kolkata Knight Riders,Mumbai Indians,Mumbai,77,34,7,170,6.5,13.6,0
23500,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,60,19,6,189,7.7,18.9,0
23501,Mumbai Indians,Royal Challengers Bangalore,Mumbai,100,80,2,171,10.6,7.5,1
23502,Sunrisers Hyderabad,Delhi Daredevils,Hyderabad,18,54,4,80,5.6,2.0,1
23503,Delhi Daredevils,Mumbai Indians,Centurion,20,37,4,165,10.5,3.2,1
23504,Kolkata Knight Riders,Chennai Super Kings,Chennai,124,107,1,139,6.9,7.0,1
23505,Royal Challengers Bangalore,Deccan Chargers,Nagpur,67,52,2,151,7.4,7.7,0
23506,Delhi Capitals,Chennai Super Kings,Dubai,57,65,3,136,8.6,5.3,1
23507,Kolkata Knight Riders,Kings XI Punjab,Abu Dhabi,104,83,3,132,4.5,7.5,0
23508,Royal Challengers Bangalore,Delhi Daredevils,Bangalore,11,12,7,152,7.8,5.5,1
23509,Chennai Super Kings,Delhi Capitals,Visakhapatnam,80,37,5,191,8.0,13.0,0
23510,Chennai Super Kings,Deccan Chargers,Hyderabad,16,18,3,147,7.7,5.3,1
23511,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,51,34,5,136,5.9,9.0,0
23512,Chennai Super Kings,Royal Challengers Bangalore,Mumbai,162,110,2,175,7.8,8.8,1
23513,Royal Challengers Bangalore,Rajasthan Royals,Mumbai,10,34,0,177,11.7,1.8,1
23514,Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,161,105,1,181,8.0,9.2,0
23515,Kolkata Knight Riders,Rajasthan Royals,Kolkata,121,121,0,142,-126.0,6.0,1
23516,Royal Challengers Bangalore,Delhi Capitals,Mumbai,102,44,5,196,7.4,13.9,0
23517,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,92,67,2,171,8.9,8.2,1
23518,Mumbai Indians,Royal Challengers Bangalore,Chennai,56,11,8,185,7.1,30.5,0
23519,Delhi Capitals,Chennai Super Kings,Mumbai,102,73,0,188,11.0,8.4,1
23520,Mumbai Indians,Deccan Chargers,Mumbai,82,59,3,135,5.2,8.3,0
23521,Chennai Super Kings,Mumbai Indians,Chennai,41,27,6,148,6.9,9.1,0
23522,Rajasthan Royals,Kolkata Knight Riders,Kolkata,122,103,1,147,8.8,7.1,1
23523,Chennai Super Kings,Royal Challengers Bangalore,Pune,123,124,0,127,-6.0,6.0,1
23524,Rajasthan Royals,Chennai Super Kings,Jaipur,193,122,0,196,-9.0,9.5,0
23525,Royal Challengers Bangalore,Chennai Super Kings,Chennai,53,45,3,148,7.6,7.1,0
23526,Kolkata Knight Riders,Delhi Daredevils,Delhi,97,51,4,177,7.0,11.4,0
23527,Sunrisers Hyderabad,Chennai Super Kings,Mumbai,23,29,1,154,8.6,4.8,1
23528,Deccan Chargers,Kolkata Knight Riders,Kolkata,96,61,3,163,6.8,9.4,0
23529,Royal Challengers Bangalore,Delhi Daredevils,Bengaluru,78,55,3,174,8.9,8.5,1
23530,Kings XI Punjab,Royal Challengers Bangalore,Indore,134,114,0,148,14.0,7.1,1
23531,Kolkata Knight Riders,Kings XI Punjab,Chandigarh,48,40,3,157,8.2,7.2,0
23532,Delhi Daredevils,Kings XI Punjab,Dharamsala,156,116,0,170,21.0,8.1,0
23533,Delhi Capitals,Mumbai Indians,Sharjah,93,95,3,129,8.6,5.9,1
23534,Gujarat Titans,Rajasthan Royals,Jaipur,68,89,0,118,9.7,4.6,1
23535,Mumbai Indians,Lucknow Super Giants,Mumbai,48,23,4,168,7.4,12.5,0
23536,Kings XI Punjab,Royal Challengers Bangalore,Durban,85,61,1,168,8.4,8.4,1
23537,Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,110,106,1,130,8.6,6.2,1
23538,Mumbai Indians,Chennai Super Kings,Bangalore,86,48,5,187,8.4,10.8,0
23539,Chennai Super Kings,Rajasthan Royals,Chennai,73,43,4,175,7.9,10.2,0
23540,Chennai Super Kings,Mumbai Indians,Navi Mumbai,139,111,2,155,10.7,7.5,1
23541,Chennai Super Kings,Rajasthan Royals,Chennai,12,26,1,147,8.6,2.8,1
23542,Chennai Super Kings,Kings XI Punjab,Chennai,121,101,0,156,11.1,7.2,0
23543,Chennai Super Kings,Delhi Daredevils,Durban,12,11,7,189,9.7,6.5,0
23544,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,131,113,0,154,19.7,7.0,1
23545,Chennai Super Kings,Royal Challengers Bangalore,Pune,24,11,7,173,8.2,13.1,0
23546,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,136,83,2,181,7.3,9.8,0
23547,Kings XI Punjab,Kolkata Knight Riders,Kolkata,152,111,1,164,8.0,8.2,0
23548,Kolkata Knight Riders,Rajasthan Royals,Kolkata,109,107,1,142,15.2,6.1,1
23549,Kings XI Punjab,Rajasthan Royals,Chandigarh,96,78,2,183,12.4,7.4,0
23550,Chennai Super Kings,Mumbai Indians,Kolkata,125,61,1,202,7.8,12.3,0
23551,Delhi Daredevils,Mumbai Indians,Centurion,140,111,0,165,16.7,7.6,1
23552,Sunrisers Hyderabad,Lucknow Super Giants,Mumbai,79,55,3,169,8.3,8.6,0
23553,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,94,60,3,200,10.6,9.4,0
23554,Kings XI Punjab,Mumbai Indians,Chandigarh,102,61,2,189,8.8,10.0,0
23555,Delhi Capitals,Royal Challengers Bangalore,Delhi,158,109,0,181,12.5,8.7,1
23556,Royal Challengers Bangalore,Kings XI Punjab,Chandigarh,33,30,3,163,8.7,6.6,1
23557,Sunrisers Hyderabad,Mumbai Indians,Abu Dhabi,183,99,0,235,14.9,11.1,0
23558,Kolkata Knight Riders,Rajasthan Royals,Jaipur,35,26,8,144,7.0,8.1,0
23559,Mumbai Indians,Kings XI Punjab,Mumbai,62,48,2,189,10.6,7.8,0
23560,Rajasthan Royals,Mumbai Indians,Jaipur,111,62,5,174,6.5,10.7,0
23561,Rajasthan Royals,Kolkata Knight Riders,Kolkata,167,125,0,169,-2.4,8.0,0
23562,Kings XI Punjab,Royal Challengers Bangalore,Bangalore,98,72,1,174,9.5,8.2,1
23563,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,122,112,1,139,12.8,6.5,1
23564,Rajasthan Royals,Kings XI Punjab,Cape Town,112,98,4,139,7.4,6.9,0
23565,Kolkata Knight Riders,Delhi Daredevils,Kolkata,62,101,0,98,11.4,3.7,1
23566,Sunrisers Hyderabad,Delhi Daredevils,Delhi,135,88,1,187,9.8,9.2,1
23567,Mumbai Indians,Gujarat Titans,Ahmedabad,103,76,2,168,8.9,8.1,0
23568,Kolkata Knight Riders,Delhi Capitals,Mumbai,106,54,3,215,9.9,11.8,0
23569,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,73,75,2,123,6.7,5.8,1
23570,Delhi Daredevils,Kolkata Knight Riders,Pune,59,44,3,162,8.1,8.0,0
23571,Delhi Daredevils,Mumbai Indians,Mumbai,78,111,0,92,9.3,4.2,1
23572,Rajasthan Royals,Mumbai Indians,Jaipur,165,116,1,174,13.5,8.5,0
23573,Kolkata Knight Riders,Royal Challengers Bangalore,Abu Dhabi,16,76,0,92,10.4,1.3,1
23574,Kolkata Knight Riders,Mumbai Indians,Mumbai,92,50,5,170,6.7,11.0,0
23575,Rajasthan Royals,Kolkata Knight Riders,Mumbai,126,73,5,174,6.1,10.4,0
23576,Kings XI Punjab,Mumbai Indians,Chandigarh,155,111,1,172,11.3,8.4,0
23577,Sunrisers Hyderabad,Chennai Super Kings,Mumbai,163,119,0,167,24.0,8.2,0
23578,Kolkata Knight Riders,Rajasthan Royals,Durban,71,82,4,101,4.7,5.2,1
23579,Rajasthan Royals,Gujarat Titans,Ahmedabad,168,104,2,177,3.4,9.7,1
23580,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,26,97,0,68,11.0,1.6,1
23581,Chennai Super Kings,Kings XI Punjab,Mumbai,161,98,1,226,17.7,9.9,0
23582,Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,105,98,2,130,6.8,6.4,1
23583,Rajasthan Royals,Royal Challengers Bangalore,Abu Dhabi,2,49,4,70,5.7,0.2,1
23584,Kings XI Punjab,Royal Challengers Bangalore,Bangalore,16,34,4,126,7.7,2.8,1
23585,Kolkata Knight Riders,Kings XI Punjab,Kolkata,94,91,1,170,15.7,6.2,1
23586,Royal Challengers Bangalore,Delhi Daredevils,Bangalore,78,72,2,152,9.2,6.5,1
23587,Royal Challengers Bangalore,Kings XI Punjab,Chandigarh,127,85,1,181,9.3,9.0,1
23588,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,36,46,3,129,7.5,4.7,0
23589,Delhi Capitals,Kings XI Punjab,Chandigarh,76,59,3,166,8.9,7.7,0
23590,Lucknow Super Giants,Rajasthan Royals,Jaipur,115,64,4,193,8.4,10.8,0
23591,Rajasthan Royals,Mumbai Indians,Abu Dhabi,164,93,3,193,6.4,10.6,0
23592,Deccan Chargers,Chennai Super Kings,Nagpur,23,26,4,138,7.3,5.3,1
23593,Rajasthan Royals,Delhi Daredevils,Jaipur,90,83,1,151,9.9,6.5,1
23594,Gujarat Titans,Sunrisers Hyderabad,Mumbai,194,121,0,195,-6.0,9.6,1
23595,Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,1,9,3,160,8.6,0.7,1
23596,Delhi Daredevils,Rajasthan Royals,Ahmedabad,142,69,5,201,6.9,12.3,0
23597,Rajasthan Royals,Kings XI Punjab,Chandigarh,122,52,4,221,8.7,14.1,0
23598,Kolkata Knight Riders,Mumbai Indians,Kolkata,42,47,0,133,7.5,5.4,1
23599,Kings XI Punjab,Chennai Super Kings,Chennai,104,56,3,186,7.7,11.1,0
23600,Delhi Daredevils,Royal Challengers Bangalore,Port Elizabeth,60,42,3,149,6.8,8.6,1
23601,Kings XI Punjab,Delhi Daredevils,Delhi,100,44,6,188,6.9,13.6,0
23602,Kolkata Knight Riders,Mumbai Indians,Mumbai,113,76,2,171,7.9,8.9,0
23603,Kolkata Knight Riders,Delhi Daredevils,Kolkata,15,50,1,98,7.1,1.8,1
23604,Delhi Daredevils,Chennai Super Kings,Delhi,90,38,7,169,5.8,14.2,0
23605,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,121,110,0,136,9.0,6.6,0
23606,Kolkata Knight Riders,Delhi Daredevils,Delhi,141,68,5,219,9.0,12.4,0
23607,Chennai Super Kings,Sunrisers Hyderabad,Chennai,62,76,0,134,9.8,4.9,1
23608,Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,163,114,0,175,12.0,8.6,0
23609,Chennai Super Kings,Gujarat Titans,Ahmedabad,56,41,5,214,12.0,8.2,1
23610,Chennai Super Kings,Royal Challengers Bangalore,Chennai,140,79,1,205,9.5,10.6,1
23611,Sunrisers Hyderabad,Rajasthan Royals,Dubai,44,47,3,164,9.9,5.6,1
23612,Kings XI Punjab,Royal Challengers Bangalore,Bangalore,167,67,8,226,6.7,15.0,0
23613,Deccan Chargers,Chennai Super Kings,Chennai,120,102,0,144,8.0,7.1,1
23614,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,129,76,1,190,8.3,10.2,1
23615,Rajasthan Royals,Delhi Capitals,Mumbai,13,6,7,161,7.8,13.0,0
23616,Royal Challengers Bangalore,Kings XI Punjab,Mumbai,117,41,7,206,6.8,17.1,0
23617,Royal Challengers Bangalore,Rajasthan Royals,Mumbai,116,72,1,177,7.6,9.7,1
23618,Royal Challengers Bangalore,Chennai Super Kings,Port Elizabeth,179,125,0,179,-0.0,8.6,0
23619,Chennai Super Kings,Delhi Daredevils,Delhi,89,66,2,187,10.9,8.1,1
23620,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,92,64,1,171,8.5,8.6,0
23621,Mumbai Indians,Gujarat Titans,Ahmedabad,183,98,1,207,6.5,11.2,0
23622,Mumbai Indians,Chennai Super Kings,Delhi,102,46,3,218,9.4,13.3,1
23623,Royal Challengers Bangalore,Mumbai Indians,Bangalore,68,17,7,191,7.2,24.0,0
23624,Kolkata Knight Riders,Kings XI Punjab,Durban,88,80,1,158,10.5,6.6,1
23625,Kolkata Knight Riders,Kings XI Punjab,Chandigarh,11,34,2,124,7.9,1.9,1
23626,Kings XI Punjab,Kolkata Knight Riders,Kolkata,167,90,2,218,10.2,11.1,0
23627,Chennai Super Kings,Kolkata Knight Riders,Kolkata,107,90,0,158,10.2,7.1,1
23628,Chennai Super Kings,Kings XI Punjab,Mumbai,158,111,0,178,13.3,8.5,1
23629,Mumbai Indians,Kolkata Knight Riders,Kolkata,42,10,6,232,10.4,25.2,0
23630,Mumbai Indians,Royal Challengers Bangalore,Bangalore,143,95,3,171,6.7,9.0,1
23631,Rajasthan Royals,Mumbai Indians,Mumbai,123,59,4,212,8.8,12.5,0
23632,Kolkata Knight Riders,Gujarat Titans,Navi Mumbai,93,66,4,156,7.0,8.5,0
23633,Royal Challengers Bangalore,Rajasthan Royals,Mumbai,107,74,3,169,8.1,8.7,1
23634,Delhi Capitals,Sunrisers Hyderabad,Abu Dhabi,24,10,6,162,7.5,14.4,0
23635,Chennai Super Kings,Delhi Daredevils,Delhi,1,13,5,185,10.3,0.5,1
23636,Kolkata Knight Riders,Delhi Daredevils,Delhi,118,70,3,186,8.2,10.1,0
23637,Delhi Capitals,Sunrisers Hyderabad,Abu Dhabi,74,41,3,162,6.7,10.8,0
23638,Rajasthan Royals,Kings XI Punjab,Cape Town,136,122,0,139,-9.0,6.7,0
23639,Delhi Daredevils,Mumbai Indians,Mumbai,121,95,4,142,5.0,7.6,0
23640,Kolkata Knight Riders,Chennai Super Kings,Centurion,186,124,0,188,-3.0,9.0,1
23641,Delhi Daredevils,Chennai Super Kings,Abu Dhabi,101,47,6,177,6.2,12.9,0
23642,Mumbai Indians,Sunrisers Hyderabad,Mumbai,66,35,4,193,9.0,11.3,0
23643,Kolkata Knight Riders,Delhi Capitals,Sharjah,5,8,7,135,7.0,3.8,1
23644,Rajasthan Royals,Chennai Super Kings,Jaipur,104,115,0,109,6.0,5.4,1
23645,Delhi Daredevils,Chennai Super Kings,Abu Dhabi,154,91,3,177,4.8,10.2,0
23646,Sunrisers Hyderabad,Lucknow Super Giants,Hyderabad,124,110,0,165,24.6,6.8,1
23647,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,1,13,5,185,10.3,0.5,1
23648,Kings XI Punjab,Chennai Super Kings,Chandigarh,69,70,0,170,12.1,5.9,1
23649,Kolkata Knight Riders,Delhi Daredevils,Delhi,31,19,8,186,9.2,9.8,0
23650,Chennai Super Kings,Kolkata Knight Riders,Chennai,65,85,2,108,7.4,4.6,1
23651,Delhi Daredevils,Rajasthan Royals,Mumbai,70,37,4,189,8.6,11.4,0
23652,Kolkata Knight Riders,Chennai Super Kings,Chennai,125,113,0,139,12.0,6.6,1
23653,Kolkata Knight Riders,Kings XI Punjab,Chandigarh,68,62,2,157,9.2,6.6,0
23654,Chennai Super Kings,Rajasthan Royals,Jaipur,121,80,4,151,4.5,9.1,1
23655,Mumbai Indians,Kolkata Knight Riders,Kolkata,45,24,4,175,8.1,11.2,1
23656,Mumbai Indians,Delhi Capitals,Mumbai,98,93,1,156,12.9,6.3,1
23657,Chennai Super Kings,Rajasthan Royals,Ranchi,69,62,3,148,8.2,6.7,1
23658,Mumbai Indians,Royal Challengers Bangalore,Bangalore,67,42,3,151,6.5,9.6,1
23659,Delhi Daredevils,Mumbai Indians,Delhi,15,18,5,176,9.5,5.0,1
23660,Sunrisers Hyderabad,Delhi Capitals,Hyderabad,142,114,0,155,13.0,7.5,0
23661,Kings XI Punjab,Rajasthan Royals,Indore,142,113,0,152,8.6,7.5,1
23662,Royal Challengers Bangalore,Mumbai Indians,Bengaluru,93,61,2,187,9.6,9.1,0
23663,Sunrisers Hyderabad,Rajasthan Royals,Delhi,156,82,1,220,10.1,11.4,0
23664,Kings XI Punjab,Rajasthan Royals,Durban,88,20,7,211,7.4,26.4,0
23665,Rajasthan Royals,Sunrisers Hyderabad,Abu Dhabi,107,97,2,133,6.8,6.6,1
23666,Rajasthan Royals,Delhi Capitals,Abu Dhabi,114,76,3,154,5.5,9.0,0
23667,Kings XI Punjab,Rajasthan Royals,Pune,45,27,5,162,7.5,10.0,0
23668,Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,123,112,0,165,31.5,6.6,1
23669,Mumbai Indians,Deccan Chargers,Mumbai,103,78,3,135,4.6,7.9,0
23670,Kings XI Punjab,Delhi Daredevils,Delhi,0,25,5,120,7.6,0.0,1
23671,Rajasthan Royals,Deccan Chargers,Kimberley,147,102,2,166,6.3,8.6,0
23672,Kolkata Knight Riders,Rajasthan Royals,Kolkata,127,123,0,132,-10.0,6.2,1
23673,Royal Challengers Bangalore,Delhi Capitals,Dubai,115,74,2,164,6.4,9.3,1
23674,Royal Challengers Bangalore,Rajasthan Royals,Dubai,81,76,2,149,9.3,6.4,1
23675,Deccan Chargers,Kolkata Knight Riders,Mumbai,61,58,2,161,9.7,6.3,0
23676,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,76,40,3,181,7.9,11.4,1
23677,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,122,93,1,157,7.8,7.9,1
23678,Mumbai Indians,Rajasthan Royals,Sharjah,76,118,0,90,42.0,3.9,1
23679,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,89,81,7,131,6.5,6.6,0
23680,Deccan Chargers,Kolkata Knight Riders,Hyderabad,29,14,6,169,7.9,12.4,0
23681,Kings XI Punjab,Delhi Daredevils,Delhi,69,29,4,231,10.7,14.3,0
23682,Delhi Daredevils,Kings XI Punjab,Pune,13,20,2,165,9.1,3.9,1
23683,Mumbai Indians,Chennai Super Kings,Mumbai,102,80,0,180,11.7,7.6,1
23684,Rajasthan Royals,Mumbai Indians,Mumbai,80,89,0,133,10.3,5.4,1
23685,Rajasthan Royals,Deccan Chargers,Hyderabad,195,108,1,214,9.5,10.8,1
23686,Royal Challengers Bangalore,Kings XI Punjab,Chandigarh,51,33,3,181,9.0,9.3,1
23687,Kolkata Knight Riders,Delhi Capitals,Mumbai,64,26,8,215,9.6,14.8,0
23688,Rajasthan Royals,Delhi Daredevils,Delhi,176,116,0,196,30.0,9.1,0
23689,Gujarat Titans,Delhi Capitals,Delhi,109,92,2,162,11.4,7.1,1
23690,Rajasthan Royals,Delhi Daredevils,Delhi,11,22,3,152,8.6,3.0,1
23691,Deccan Chargers,Kolkata Knight Riders,Hyderabad,50,23,6,204,9.5,13.0,0
23692,Mumbai Indians,Lucknow Super Giants,Mumbai,131,79,3,199,10.0,9.9,0
23693,Mumbai Indians,Deccan Chargers,Durban,84,65,1,168,9.2,7.8,0
23694,Kolkata Knight Riders,Chennai Super Kings,Kolkata,128,93,1,165,8.2,8.3,1
23695,Mumbai Indians,Kings XI Punjab,Chandigarh,84,83,1,156,11.7,6.1,1
23696,Lucknow Super Giants,Mumbai Indians,Lucknow,141,117,1,144,6.0,7.2,1
23697,Delhi Daredevils,Mumbai Indians,Mumbai,114,62,3,209,9.8,11.0,0
23698,Royal Challengers Bangalore,Kolkata Knight Riders,Centurion,51,31,4,173,8.2,9.9,1
23699,Delhi Daredevils,Kings XI Punjab,Cape Town,58,103,0,104,16.2,3.4,1
23700,Lucknow Super Giants,Royal Challengers Bangalore,Kolkata,137,80,2,207,10.5,10.3,0
23701,Chennai Super Kings,Mumbai Indians,Chennai,116,93,2,148,7.1,7.5,0
23702,Delhi Daredevils,Chennai Super Kings,Chennai,48,22,5,176,7.8,13.1,0
23703,Delhi Daredevils,Chennai Super Kings,Delhi,135,85,4,169,5.8,9.5,0
23704,Royal Challengers Bangalore,Chennai Super Kings,Port Elizabeth,125,71,5,179,6.6,10.6,0
23705,Royal Challengers Bangalore,Deccan Chargers,Johannesburg,13,9,9,143,7.0,8.7,0
23706,Lucknow Super Giants,Gujarat Titans,Pune,133,111,0,144,7.3,7.2,0
23707,Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,148,119,0,150,12.0,7.5,1
23708,Sunrisers Hyderabad,Royal Challengers Bangalore,Chennai,47,42,2,149,7.8,6.7,0
23709,Delhi Daredevils,Kings XI Punjab,Dharamsala,99,48,4,171,6.0,12.4,0
23710,Delhi Daredevils,Mumbai Indians,Mumbai,73,69,1,125,6.1,6.3,1
23711,Chennai Super Kings,Mumbai Indians,Mumbai,130,114,0,139,9.0,6.8,0
23712,Rajasthan Royals,Deccan Chargers,Hyderabad,106,92,0,137,6.6,6.9,1
23713,Delhi Capitals,Kolkata Knight Riders,Abu Dhabi,167,99,2,194,7.7,10.1,0
23714,Delhi Daredevils,Mumbai Indians,Delhi,169,96,1,218,12.2,10.6,0
23715,Kolkata Knight Riders,Royal Challengers Bangalore,Mumbai,109,43,6,194,6.6,15.2,0
23716,Rajasthan Royals,Chennai Super Kings,Mumbai,112,77,3,163,7.1,8.7,1
23717,Mumbai Indians,Chennai Super Kings,Mumbai,75,42,3,168,7.2,10.7,0
23718,Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,55,32,4,150,6.5,10.3,0
23719,Rajasthan Royals,Kings XI Punjab,Jaipur,66,80,2,124,8.7,5.0,1
23720,Kolkata Knight Riders,Kings XI Punjab,Chandigarh,88,65,3,167,8.6,8.1,0
23721,Lucknow Super Giants,Delhi Capitals,Delhi,163,99,4,208,12.9,9.9,0
23722,Delhi Daredevils,Deccan Chargers,Hyderabad,66,52,4,175,9.6,7.6,1
23723,Chennai Super Kings,Gujarat Titans,Ahmedabad,229,122,0,231,-6.0,11.3,0
23724,Kolkata Knight Riders,Sunrisers Hyderabad,Ahmedabad,7,46,2,159,12.3,0.9,1
23725,Kings XI Punjab,Mumbai Indians,Mumbai,120,84,1,176,9.3,8.6,1
23726,Kolkata Knight Riders,Rajasthan Royals,Kolkata,66,71,1,131,8.0,5.6,1
23727,Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,23,18,4,175,8.9,7.7,0
23728,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,103,83,1,144,6.6,7.4,1
23729,Delhi Capitals,Lucknow Super Giants,Mumbai,183,112,1,195,9.0,9.8,0
23730,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,165,109,0,178,7.1,9.1,0
23731,Kolkata Knight Riders,Delhi Daredevils,Delhi,73,70,2,146,8.8,6.3,1
23732,Mumbai Indians,Sunrisers Hyderabad,Hyderabad,268,121,0,277,-54.0,13.3,0
23733,Mumbai Indians,Royal Challengers Bangalore,Bangalore,2,19,1,140,8.2,0.6,1
23734,Mumbai Indians,Chennai Super Kings,Mumbai,32,31,3,180,10.0,6.2,1
23735,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,28,23,6,163,8.4,7.3,0
23736,Kings XI Punjab,Rajasthan Royals,Mumbai,181,111,1,191,6.7,9.8,1
23737,Mumbai Indians,Lucknow Super Giants,Lucknow,105,79,0,177,10.5,8.0,0
23738,Kings XI Punjab,Chennai Super Kings,Durban,65,46,4,116,4.1,8.5,0
23739,Rajasthan Royals,Kings XI Punjab,Chandigarh,132,57,3,221,8.5,13.9,0
